Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
58,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Presentations to Meetings and Conferences,,,Lynas Rare Earth,2023.0,"Presenting at meetings and conferences is an excellent way for Lynas Rare Earth to showcase its expertise, innovations, and contributions to the rare earth industry. Lynas Rare Earth can deliver presentations communicating its strengths, achievements, and plans at meetings and conferences.",,,2,9,,,"Engagement, meeting, conference",17,S,,,,,,,,,,,,,,,
59,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Media Interview,,,Lynas Rare Earth,2023.0,"Media interviews are crucial opportunities for Lynas Rare Earth to convey its message, address concerns, and shape public perception. Lynas Rare Earth can navigate media interviews effectively, shaping public perception and maintaining open and transparent communication.",,,2,9,,,"Engagement, information, media",17,S,,,,,,,,,,,,,,,
60,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,The Annual ESG Report,,,Lynas Rare Earth,2023.0,"Creating an Annual Environmental, Social, and Governance (ESG) report is critical to Lynas Rare Earth's commitment to transparency, accountability, and Sustainability. Lynas Rare Earth can produce an informative and comprehensive ESG report that aligns with industry standards and showcases the Company's commitment to Sustainability and responsible corporate citizenship.",,,2,9,,,"Engagement, ESG, information",17,S,,,,,,,,,,,,,,,
61,,102.0,General Disclosures,102-44,Key topics and concerns raised,"Lynas Rare Earths Limited's (Lynas) top 6 critical concerns are health and safety, innovation and financial sustainability, communities and human rights, employment and skills, resource efficiency and waste management, and climate change and environment.",,,,Lynas Rare Earth,2023.0,,,,2,9,,,,,,,,,,,,,,,,,,,,
62,,102.0,General Disclosures,102-45,Entities included in the consolidated financial statements,"Mt Weld Holdings, Lynas Malaysia, Lynas Kalgoorlie, and all of Lynas'sLynas's companies worldwide are included.",,,,Lynas Rare Earth,2023.0,,,,2,4,,,,,,,,,,,,,,,,,,,,
63,,102.0,General Disclosures,102-46,Defining report content and topic Boundaries,"The Lynas Rare Earths (Lynas) Environmental, Social and Governance (ESG) Report 2023 outlines the company's ongoing commitment to report progress towards the principles of the United Nations Global Compact (UNGC), to which we are a signatory and towards achieving the UN Sustainable Development Goals.",,,,Lynas Rare Earth,2023.0,,,,2,4,,,,,,,,,,,,,,,,,,,,
64,,102.0,General Disclosures,102-47,List of material topics,"Lyna's material topics are health and safety, innovation and financial sustainability, communities and human rights, employment and skills, resource efficiency and waste management, and climate change and environment.",,,,Lynas Rare Earth,2023.0,,,,2,9,,,,,,,,,,,,,,,,,,,,
65,,102.0,General Disclosures,102-48,Restatements of information,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,,102.0,General Disclosures,102-49,Changes in reporting,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,,102.0,General Disclosures,102-50,Reporting period,Lynas Rare Earths Limited (Lynas) has reported the GRI Standards from 1 July 2022 to 30 June 2023.,,,,Lynas Rare Earth,2023.0,,,,2,5,,,,,,,,,,,,,,,,,,,,
68,,102.0,General Disclosures,102-51,Date of most recent report,Oct-22,,,,Lynas Rare Earth,2023.0,,,,2,5,,,,,,,,,,,,,,,,,,,,
69,,102.0,General Disclosures,102-52,Reporting cycle,"A summary of Lynas'Lynas' entities, operations and financial statements are reported separately in the FY23 Annual Report.",,,,Lynas Rare Earth,2023.0,,,,2,5,,,,,,,,,,,,,,,,,,,,
70,,102.0,General Disclosures,102-53,Contact point for questions regrading the report,Email: investorrelations@lynasre.com,,,,Lynas Rare Earth,2023.0,,,,2,5,,,,,,,,,,,,,,,,,,,,
71,,102.0,General Disclosures,102-54,Claims of reporting in accordance with the GRI Standards,"The content of this report is also informed by the Global Reporting Initiative (GRI) Sustainability Reporting Guidelines, referenced in the ASX Corporate Governance Council, Corporate Governance Principles and Recommendations, 3rd and 4th Editions.",,,,Lynas Rare Earth,2023.0,,,,2,4,,,,,,,,,,,,,,,,,,,,
72,,102.0,General Disclosures,102-55,GRI content index,"The Navigation Index indicates the sections of Lynas FY22 ESG Report that align with the GRI Standards, the principles of the United Nations Global Compact, and the 10 principles of the International Council on Mining and Metals.",,,,Lynas Rare Earth,2023.0,,,,2,43,,,,,,,,,,,,,,,,,,,,
73,,102.0,General Disclosures,102-56,External assurance,,Annual audits of environmental management practices,,,Lynas Rare Earth,2023.0,"Annual audits of environmental management practices are crucial to Lynas Rare Earth's commitment to Sustainability and responsible business operations. These audits help ensure compliance with environmental regulations, identify areas for improvement, and demonstrate transparency to stakeholders.",,,2,5,,,"Assurance, environment, audit","11, 12",E,,,,,,,,,,,,,,,
